Original,First difference,Square root,Log
1008.0,,7.681145747868608,4.07753744390572
1008.0,0.0,7.681145747868608,4.07753744390572
1008.0,0.0,7.681145747868608,4.07753744390572
1008.0,0.0,7.681145747868608,4.07753744390572
1008.0,0.0,7.681145747868608,4.07753744390572
1008.0,0.0,7.681145747868608,4.07753744390572
1008.0,0.0,7.681145747868608,4.07753744390572
1008.0,0.0,7.681145747868608,4.07753744390572
1009.0,1.0,7.745966692414834,4.0943445622221
1009.0,0.0,7.745966692414834,4.0943445622221
1006.0,-3.0,7.54983443527075,4.04305126783455
1011.0,5.0,7.874007874011811,4.127134385045092
1013.0,2.0,8.0,4.1588830833596715
1014.0,1.0,8.06225774829855,4.174387269895637
1014.0,0.0,8.06225774829855,4.174387269895637
1011.0,-3.0,7.874007874011811,4.127134385045092
1010.0,-1.0,7.810249675906654,4.110873864173311
1009.0,-1.0,7.745966692414834,4.0943445622221
1008.0,-1.0,7.681145747868608,4.07753744390572
1008.0,0.0,7.681145747868608,4.07753744390572
1007.0,-1.0,7.615773105863909,4.060443010546419
1007.0,0.0,7.615773105863909,4.060443010546419
1005.0,-2.0,7.483314773547883,4.02535169073515
1009.0,4.0,7.745966692414834,4.0943445622221
1010.0,1.0,7.810249675906654,4.110873864173311
1011.0,1.0,7.874007874011811,4.127134385045092
1012.0,1.0,7.937253933193772,4.143134726391533
1010.0,-2.0,7.810249675906654,4.110873864173311
1009.0,-1.0,7.745966692414834,4.0943445622221
1009.0,0.0,7.745966692414834,4.0943445622221
1008.0,-1.0,7.681145747868608,4.07753744390572
1009.0,1.0,7.745966692414834,4.0943445622221
1010.0,1.0,7.810249675906654,4.110873864173311
1012.0,2.0,7.937253933193772,4.143134726391533
1011.0,-1.0,7.874007874011811,4.127134385045092
1013.0,2.0,8.0,4.1588830833596715
1013.0,0.0,8.0,4.1588830833596715
1014.0,1.0,8.06225774829855,4.174387269895637
1014.0,0.0,8.06225774829855,4.174387269895637
1014.0,0.0,8.06225774829855,4.174387269895637
1012.0,-2.0,7.937253933193772,4.143134726391533
1011.0,-1.0,7.874007874011811,4.127134385045092
1011.0,0.0,7.874007874011811,4.127134385045092
1008.0,-3.0,7.681145747868608,4.07753744390572
1011.0,3.0,7.874007874011811,4.127134385045092
1011.0,0.0,7.874007874011811,4.127134385045092
1012.0,1.0,7.937253933193772,4.143134726391533
1013.0,1.0,8.0,4.1588830833596715
1013.0,0.0,8.0,4.1588830833596715
1014.0,1.0,8.06225774829855,4.174387269895637
1014.0,0.0,8.06225774829855,4.174387269895637
1011.0,-3.0,7.874007874011811,4.127134385045092
1011.0,0.0,7.874007874011811,4.127134385045092
1012.0,1.0,7.937253933193772,4.143134726391533
1014.0,2.0,8.06225774829855,4.174387269895637
1014.0,0.0,8.06225774829855,4.174387269895637
1015.0,1.0,8.12403840463596,4.189654742026425
1015.0,0.0,8.12403840463596,4.189654742026425
1014.0,-1.0,8.06225774829855,4.174387269895637
1014.0,0.0,8.06225774829855,4.174387269895637
